"","gender","ethnicity","first_name","last_name","Avenger","Superhero","year_birth","income"
"1",0,5,"Tyler","Yara III",FALSE,FALSE,1921,1250.86144645876
"2",1,2,"Aiyana","Nguyen",FALSE,FALSE,1924,2284.64703331659
"3",0,3,"Tyler","Harris",FALSE,FALSE,1943,25464.1162612372
"4",0,3,"Tony","Swiney",FALSE,FALSE,1968,87099.0055209176
"5",0,1,"Tyler","Schoenrock",FALSE,FALSE,1944,28156.3552162601
"6",1,2,"Olivia","Cheng",FALSE,FALSE,1996,31860.0613570316
"7",1,6,"Himma","al-Farag",FALSE,FALSE,1954,72879.8876599857
"8",1,2,"Trang","Yang",FALSE,FALSE,1995,34504.9300387443
"9",1,6,"Mutee'a","el-Zia",FALSE,FALSE,1951,64747.7491560031
"10",0,1,"Ryan","Warren",FALSE,FALSE,1954,68553.8499322306
"11",1,2,"Alisa","Floyd",FALSE,FALSE,2003,30439.2472512805
"12",0,5,"Jared","Nelson",FALSE,FALSE,1945,32168.8266133284
"13",1,2,"Alexis","Xiong",FALSE,FALSE,1965,111105.942886763
"14",1,4,"Jennehii","Lopez",FALSE,FALSE,1985,66267.2462207889
"15",0,3,"Devin","Statewright",FALSE,FALSE,1985,52169.4174741861
"16",1,6,"Mudrika","el-Shabazz",FALSE,FALSE,1922,1824.41003317818
"17",1,4,"Dania","Corral",FALSE,FALSE,1946,44451.1813875533
"18",1,2,"Chelsea","Cheng",FALSE,FALSE,1988,52905.4498734238
"19",0,1,"Samuel","Cabral-Hollowhorn",FALSE,FALSE,1970,91936.3971591095
"20",0,1,"Keith","Lapaz",FALSE,FALSE,1925,2337.60295091326
"21",0,3,"Anthony","Carr",FALSE,FALSE,1953,60091.9656277624
"22",1,2,"Yu Ling","Kapule",FALSE,FALSE,2004,33220.6717223574
"23",0,1,"Dylan","Williams",FALSE,FALSE,1998,26954.9821742988
"24",0,3,"Alfred","Tesfay",FALSE,FALSE,2003,26089.2863772546
"25",0,5,"Chase","Perryman",FALSE,FALSE,1935,11168.8817318282
"26",1,4,"Sofia","Hernandez",FALSE,FALSE,1929,5005.01165501486
"27",0,3,"Devaughn","Springs",FALSE,FALSE,1960,81915.4714498592
"28",1,4,"Magali","Saguilan",FALSE,FALSE,1999,31019.9906256269
"29",0,3,"Terrance","Henderson",FALSE,FALSE,1950,53037.0863358433
"30",0,1,"Frederico","Pacheco",FALSE,FALSE,1979,70521.9035184539
"31",1,6,"Ulyaa","el-Sala",FALSE,FALSE,1957,79129.7833794862
"32",0,3,"William","Moore",FALSE,FALSE,1936,13367.6057119931
"33",0,1,"Lance","Patchett",FALSE,FALSE,1920,906.30735865678
"34",0,5,"Joshua","Bowlus",FALSE,FALSE,1961,85821.4938345172
"35",0,5,"Christopher","Wilkins",FALSE,FALSE,1962,80975.1094369441
"36",0,3,"Bruce","Harrison",FALSE,FALSE,1984,55175.0866258196
"37",1,2,"Navya","Casem",FALSE,FALSE,1993,31320.754150472
"38",0,1,"Zachery","Wilcox",FALSE,FALSE,1988,40562.8471927897
"39",0,3,"Charles","Mack-Lynch",FALSE,FALSE,1998,26657.2389024229
"40",1,4,"Cheyanne","Villanueva",FALSE,FALSE,1997,34626.0530478662
"41",0,5,"Nathan","Anderson",FALSE,FALSE,1976,84287.0452233303
"42",0,3,"Samba","Torres",FALSE,FALSE,1932,7221.63052103106
"43",0,5,"Jeremiah","Gamayunov",FALSE,FALSE,1944,29717.4118647902
"44",0,3,"Alexander","Coleman-Isaac",FALSE,FALSE,1998,26324.2100238028
"45",0,1,"Tanner","Fischer",FALSE,FALSE,1990,37034.1075349071
"46",0,1,"Anfernee","Simmons",FALSE,FALSE,2003,26823.6125877746
"47",1,6,"Manaara","el-Salahuddin",FALSE,FALSE,1948,47064.7210715241
"48",1,6,"Saamyya","al-Hammoud",FALSE,FALSE,2005,36136.3141845116
"49",0,1,"Anfernee","Burnett",FALSE,FALSE,2004,26675.6073516266
"50",0,1,"Daniel","Digby",FALSE,FALSE,1992,28731.4291871662
"51",0,5,"Reed","Christensen",FALSE,FALSE,1984,55931.8872653523
"52",1,2,"Jazmine","Nauth",FALSE,FALSE,1992,33543.0908454575
"53",1,2,"Annegelica-Faith","Sun",FALSE,FALSE,1943,33107.6762936845
"54",1,4,"Bianca","Pacheco",FALSE,FALSE,1940,21836.4418995425
"55",0,3,"Cameron","Williams",FALSE,FALSE,1959,81484.2264343899
"56",0,1,"Ian","Archuleta",FALSE,FALSE,2004,25538.3588164354
"57",1,2,"Ann","Williams",FALSE,FALSE,1936,16614.9707698188
"58",0,1,"Brackin","Bartell",FALSE,FALSE,1926,2937.66656032165
"59",1,2,"Diep","Gstalder",FALSE,FALSE,2004,33413.1706626716
"60",1,6,"Shafee'a","al-Mussa",FALSE,FALSE,1979,92139.2558307314
"61",0,1,"Jeremiah","Archuleta",FALSE,FALSE,1977,80947.9992904642
"62",1,2,"Nivetha","Strausburg",FALSE,FALSE,1962,110634.314974613
"63",1,4,"Esperanza","Barela",FALSE,FALSE,1945,42558.3193881876
"64",0,1,"Michael","Ortiz",FALSE,FALSE,1987,44743.326670901
"65",0,5,"Derand","Lavine",FALSE,FALSE,1965,96637.6349393776
"66",1,6,"Rifqa","el-Pashia",FALSE,FALSE,1957,91558.1470709172
"67",1,4,"Estefany","Martinez",FALSE,FALSE,1953,79258.1994120249
"68",1,4,"Sara","Gamez",FALSE,FALSE,1999,33177.5806584048
"69",1,2,"Hyeju","Billiamosa",FALSE,FALSE,1992,36435.2383398247
