"","gender","ethnicity","first_name","last_name","Avenger","Superhero","year_birth","income"
"1",0,1,"Brandon","Basurto",FALSE,FALSE,1973,93896.6130745376
"2",0,5,"Tyler","Johnson",FALSE,FALSE,2002,31548.8785449257
"3",0,3,"Perry","Flowers",FALSE,FALSE,1923,1797.85797273172
"4",0,1,"Kevin","Acosta",FALSE,FALSE,1956,76177.5691129025
"5",0,3,"Dominique","Charleston",FALSE,FALSE,1960,100980.13679629
"6",1,6,"Mahaa","el-Sayed",FALSE,FALSE,2002,37458.4419795004
"7",1,4,"Iris","Zacarias Paredes",FALSE,FALSE,1923,2064.57613337201
"8",1,6,"Khaira","al-Aziz",FALSE,FALSE,1995,39705.3669254492
"9",1,6,"Mawhiba","el-Kaber",FALSE,FALSE,1970,130282.833144458
"10",0,5,"Isaac","Gibson",FALSE,FALSE,1935,11667.2486503401
"11",1,6," Huda","al-Nasrallah",FALSE,FALSE,1928,5333.7560913666
"12",1,6,"Awda","al-Tahir",FALSE,FALSE,1930,7071.8480331543
"13",0,5,"Ryan","Golding",FALSE,FALSE,1934,9711.16944491946
"14",0,1,"Nathan","Hammond",FALSE,FALSE,1969,106957.86587085
"15",1,2,"Tina","Pablo",FALSE,FALSE,1946,54016.3913270181
"16",1,6,"Azza","el-Akram",FALSE,FALSE,1974,111871.157330696
"17",1,4,"Katia","Castillo Cobian",FALSE,FALSE,1958,113664.593920915
"18",0,5,"Matthew","Kinney",FALSE,FALSE,1948,44006.7947146785
"19",0,1,"Hunter","Haskan",FALSE,FALSE,1983,68934.8317262999
"20",0,1,"Deljerro","Delgado",FALSE,FALSE,1950,54443.1818006603
"21",0,3,"Jordan","Claiborne",FALSE,FALSE,1981,76155.9556432638
"22",0,5,"Kevin","Hayes",FALSE,FALSE,1992,32017.7128078074
"23",1,6,"Rumaana","al-Amiri",FALSE,FALSE,1992,39807.7791792771
"24",1,2,"Laxia","Seo",FALSE,FALSE,1997,33917.231517085
"25",0,5,"Christian","Hawley",FALSE,FALSE,1957,78416.2328368264
"26",1,6,"Fawzia","al-Khalaf",FALSE,FALSE,1959,103751.945900775
"27",0,5,"Michael","Lindsey",FALSE,FALSE,1978,89512.6695475337
"28",1,6,"Waseema","al-Kaiser",FALSE,FALSE,1985,68309.7427514935
"29",0,3,"Michael","Jackson",FALSE,FALSE,1988,49162.9366919198
"30",0,5,"Brennen","Riter Jr",FALSE,FALSE,1972,112358.745361934
"31",0,5,"Nathaniel","Shindoll",FALSE,FALSE,1952,57885.3556854567
"32",0,1,"David","Price",FALSE,FALSE,1969,97369.4147766095
"33",0,5,"Myles","Balch",FALSE,FALSE,1966,102903.107935979
"34",1,2,"Latisha","Tobin",FALSE,FALSE,1963,116473.070461292
"35",1,6,"Sultana","el-Hadi",FALSE,FALSE,1991,46178.451371344
"36",0,3,"Andre","Ryals",FALSE,FALSE,1994,31011.1156270428
"37",0,3,"Rajon","Carter",FALSE,FALSE,1939,17615.6364608198
"38",0,3,"Ty","Carrethers",FALSE,FALSE,1952,60284.1033718576
"39",1,4,"Mariah","Castro Valdez",FALSE,FALSE,1988,54618.5418767095
"40",0,1,"Marcus","Lehi",FALSE,FALSE,1932,7502.42993416287
"41",0,5,"Eric","Dvorak",FALSE,FALSE,1961,96389.0182185866
"42",0,5,"Weston","Kraus",FALSE,FALSE,1920,1025.42102744889
"43",0,5,"Wyatt","Vonesh",FALSE,FALSE,1968,100347.209913556
"44",0,5,"Logan","Cozad",FALSE,FALSE,1997,30180.6071298003
"45",1,6,"Hakeema","el-Shaban",FALSE,FALSE,1982,86059.782355995
"46",1,6,"Zaitoona","el-Niazi",FALSE,FALSE,1977,105610.304895631
"47",0,1,"Bryan","Benally",FALSE,FALSE,1963,105725.800793247
"48",1,2,"Regina","Syas",FALSE,FALSE,1943,37383.9867287446
"49",1,6,"Manaal","el-Mahfouz",FALSE,FALSE,1928,4776.08047488441
"50",0,1,"Antonio","Bruner",FALSE,FALSE,1963,96689.472530471
"51",1,4,"Yasmin","Garcia",FALSE,FALSE,1954,88455.4663236015
"52",1,4,"Sophia","Saccomanno",FALSE,FALSE,1975,113785.807118216
"53",1,4,"Jasey","Maynes",FALSE,FALSE,1980,91874.2325639082
"54",0,1,"Ronald","Martin",FALSE,FALSE,1977,88161.7705719813
"55",1,4,"Arissa","Perea",FALSE,FALSE,1959,127115.358504951
"56",0,3,"Neelish","Trujillo",FALSE,FALSE,1933,9496.11937583302
"57",0,3,"Antione","Aneke",FALSE,FALSE,1982,69274.3313324566
"58",1,2,"Kristen","Perez",FALSE,FALSE,1945,41585.956386641
"59",0,3,"Antonio","White",FALSE,FALSE,1974,95316.5450428245
"60",0,3,"Nebiyu","Moorer",FALSE,FALSE,1928,3976.09429598628
"61",1,2,"Katherine","Pietak",FALSE,FALSE,1987,64458.1994253919
"62",1,4,"Florina","Chavez",FALSE,FALSE,1981,84387.174638925
"63",0,5,"Luke","Landin",FALSE,FALSE,1928,4511.42287936127
"64",1,4,"Gabriella","Sandoval",FALSE,FALSE,1927,4533.47963563752
"65",0,1,"Milton","Frost",FALSE,FALSE,1949,50325.6390384196
"66",0,5,"Kyle","Gramm",FALSE,FALSE,2002,31920.4400642265
"67",1,6,"Sumaita","al-Aziz",FALSE,FALSE,1965,121373.658553615
"68",1,4,"Karla","Garcia",FALSE,FALSE,1963,115660.965678502
"69",0,5,"Julian","Coons",FALSE,FALSE,1980,73591.5148338597
"70",1,2,"Natalie","Shrestha",FALSE,FALSE,1987,64930.2625775024
"71",1,6,"Sabreen","el-Meer",FALSE,FALSE,2003,33614.975828546
"72",0,1,"William","Striplin",FALSE,FALSE,1923,1958.48659416117
"73",1,4,"Kaylyn","Gussman",FALSE,FALSE,1988,58475.1142501756
"74",0,5,"Michael","Good",FALSE,FALSE,1942,28166.6672899089
"75",0,5,"Timothy","Warren",FALSE,FALSE,1932,8055.9541043497
"76",1,2,"Laura","Lyons",FALSE,FALSE,1937,18651.6470022386
"77",0,5,"Devon","Otto",FALSE,FALSE,1989,42449.042477167
"78",1,4,"Sheila","Guerrero Aguilar",FALSE,FALSE,1942,34346.3648677197
"79",0,3,"Drew","Mast",FALSE,FALSE,2002,30773.213877689
"80",1,4,"Marisa","Lopez",FALSE,FALSE,1934,13165.1410865845
"81",1,6,"Raafida","al-Mahdavi",FALSE,FALSE,2004,34598.2972960285
"82",1,2,"Alisha","Phan",FALSE,FALSE,1937,18637.252386874
"83",0,3,"Darren","Davis",FALSE,FALSE,1922,1515.61650964212
"84",1,4,"Daniela","Mercado Retana",FALSE,FALSE,1982,88303.8135099214
"85",0,1,"Timothy","Curtis",FALSE,FALSE,1931,6838.97422193882
"86",0,5,"Tyler","Mccallister",FALSE,FALSE,1988,44500.8689856191
"87",0,1,"Kevin","Makaiwi",FALSE,FALSE,1949,51129.1663169012
"88",1,2,"Melissa","Niko",FALSE,FALSE,1941,33715.167756375
"89",0,3,"Tyre","Braddy",FALSE,FALSE,1947,45876.3138239723
"90",1,2,"Enkhjin","Fluetsch",FALSE,FALSE,1968,129435.048984766
"91",0,3,"Bryant","Gomez",FALSE,FALSE,1960,89225.1922423712
"92",1,2,"Hana","Gorski",FALSE,FALSE,1979,101481.450454881
"93",0,5,"Griffin","Wall",FALSE,FALSE,1947,46062.7613352563
"94",0,3,"Sean","Gabaldon",FALSE,FALSE,1969,105822.900418466
"95",0,5,"Goran","Aro",FALSE,FALSE,1991,36390.1355299449
"96",0,1,"Trevor","Blackbear",FALSE,FALSE,1930,6169.48045451302
"97",0,5,"Matthew","Myers",FALSE,FALSE,1925,2483.24614243529
"98",1,6,"Awda","el-Tawil",FALSE,FALSE,1922,1804.85527527945
"99",0,5,"Aaron","Meiers",FALSE,FALSE,1931,6647.40508982309
"100",1,2,"Savannah","You",FALSE,FALSE,1964,125766.162102884
"101",0,3,"Joshua","Jones",FALSE,FALSE,1943,31328.1021392883
"102",1,6,"Saalima","al-Jabbar",FALSE,FALSE,1972,125882.276184103
"103",0,3,"A'Jahn","Gray",FALSE,FALSE,2002,32089.6022153613
"104",0,5,"Sean","Miller",FALSE,FALSE,1971,106936.161561979
"105",0,3,"Tre'Sean","Gardner",FALSE,FALSE,1979,74553.282344245
