"","gender","ethnicity","first_name","last_name","territory","year_birth","income","height"
"1",0,1,"Jerry","Welsh","the Stormlands",269,75660.1602833511,171.2732173894
"2",1,2,"Cassandra","Forbis","the North",254,11726.0441187151,184.351449747651
"3",0,3,"Joseph","Hazard","the North",264,44366.6022116661,175.997862238782
"4",1,4,"Katelyn","Corral","The Gift ",296,205853.766660946,181.14594292583
"5",0,5,"Nicolas","Speer","Beyond the Wall",242,706.869404288544,182.446350141526
"6",1,6,"Warda","el-Majid","the Reach",240,481.23241692032,185.708898493209
"7",0,1,"Julian","Helfer","The Gift ",236,126.836696311911,185.062496200678
"8",1,2,"Amie","Altman","The Gift ",283,213776.088401813,179.738323019334
"9",0,3,"Tyree","Marshall","the Iron Islands",208,0.00363599472736161,177.358925398233
"10",1,4,"Selena","Mora","the North",235,120.748139863424,181.20914465272
"11",0,5,"David","Hibler","the North",248,3126.73802397102,176.351849647608
"12",1,6,"Aseela","el-Azer","The Gift ",227,9.00760756173543,181.861456386647
"13",0,1,"Jordahn","Mandell","the Westerlands",207,0.00207920649854155,181.66931339462
"14",1,2,"Annemarie","Quach","Beyond the Wall",229,17.2806137526713,179.567530685932
"15",0,3,"Dejae","Johnson","The Gift ",214,0.0474863561736324,182.681102455228
"16",1,4,"Gabrielle","Soto","the Riverlands",218,0.319332067640468,185.862867136523
"17",0,5,"Charles","Penna","The Gift ",219,0.359822455325352,179.772871417552
"18",1,6,"Hikma","al-Saad","The Gift ",261,35220.233536925,182.876860225155
"19",0,1,"Robert","Valdez","the Stormlands",260,25818.8907893777,180.162390867025
"20",1,2,"Mae","Yanase","the Reach",200,8.203041393991e-05,183.21908843557
"21",0,3,"George","Davis","The Gift ",228,9.96436967469407,178.83407414536
"22",1,4,"Susan","Medina","the Crownlands",293,215283.087018817,178.549551454103
"23",0,5,"Jacob","Hukill","the Riverlands",240,371.057373405261,180.827932575751
"24",1,6,"Nahla","el-Hosein","the Westerlands",230,23.5474248180194,181.409592155001
"25",0,1,"Carlee","Clark","the Vale of Arryn",235,101.586612880219,181.116770620006
"26",1,2,"Catherine","Liu","the Iron Islands",237,208.236207661632,177.059346605299
"27",0,3,"Preston","Taylor","Beyond the Wall",242,695.9489603895,176.786105538487
"28",1,4,"Karla","Gonzalez","the Iron Islands",296,205096.22613186,184.835983761897
"29",0,5,"Clifford","Taylor","the Iron Islands",235,100.803842224109,178.672786920637
"30",1,6,"Muntaha","al-Ishak","The Gift ",244,1399.58332962577,184.518747742486
"31",0,1,"Jacob","Rosen","The Gift ",219,0.334878456936566,192.092947100128
"32",1,2,"Alexandria","Sweeney","Beyond the Wall",237,195.697519266403,171.672201168455
"33",0,3,"Jalan","Byrd","the North",250,4303.98149063268,174.48908864885
